Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
8,drone_9,5.0146,3.6222,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
9,drone_0,4.9819,2.9168,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
9,drone_3,4.2334,4.2841,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
9,drone_4,4.4003,6.3087,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
9,drone_5,3.1160,6.2899,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
9,drone_6,5.5731,4.0985,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
9,drone_7,3.3062,3.9733,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
9,drone_8,6.2669,3.3106,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
9,drone_9,5.2106,3.6618,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
10,drone_0,5.1336,3.0472,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
10,drone_3,4.3933,4.4042,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
10,drone_4,4.4776,6.4931,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
10,drone_5,3.1743,6.4812,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
10,drone_6,5.7731,4.0971,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
10,drone_7,3.3689,4.1633,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
10,drone_8,6.4302,3.4260,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
10,drone_9,5.4009,3.7233,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
11,drone_0,5.2611,3.2013,17.0000,17.0000,"13.462,9.589,0.509;5.321,7.188,0.928;7.679,13.605,1.351;14.773,6.092,0.607;5.972,12.371,1.312;6.118,5.710,1.367;13.501,7.519,1.311"
