Episode,Successes,Collisions,Timeouts,Throughput,Steps,Goal_X,Goal_Y,Num_Obstacles,Mode,Fold
22,2,8,0,2.9850746268656714,67,17.0,17.0,80,random,2
23,0,10,0,0.0,61,17.0,17.0,46,random,2
24,1,9,0,1.9230769230769231,52,17.0,17.0,86,random,2
25,0,10,0,0.0,77,17.0,17.0,48,random,2
26,0,10,0,0.0,70,17.0,17.0,66,random,2
27,0,10,0,0.0,36,17.0,17.0,96,random,2
28,0,10,0,0.0,54,17.0,17.0,64,random,2
29,0,10,0,0.0,46,17.0,17.0,99,random,2
30,0,10,0,0.0,39,17.0,17.0,72,random,2
31,1,8,1,0.125,800,17.0,17.0,66,random,2
32,0,10,0,0.0,70,17.0,17.0,63,random,2
33,0,10,0,0.0,47,17.0,17.0,85,random,2
34,0,10,0,0.0,51,17.0,17.0,69,random,2
35,0,10,0,0.0,66,17.0,17.0,102,random,2
36,0,10,0,0.0,67,17.0,17.0,67,random,2
37,0,10,0,0.0,50,17.0,17.0,92,random,2
38,0,10,0,0.0,46,17.0,17.0,83,random,2
39,0,10,0,0.0,54,17.0,17.0,70,random,2
40,0,10,0,0.0,44,17.0,17.0,90,random,2
41,0,10,0,0.0,31,17.0,17.0,100,random,2
42,0,10,0,0.0,24,17.0,17.0,75,random,2
43,1,9,0,1.694915254237288,59,17.0,17.0,79,random,2
44,0,9,1,0.0,800,17.0,17.0,81,random,2
45,0,10,0,0.0,29,17.0,17.0,93,random,2
46,0,10,0,0.0,46,17.0,17.0,87,random,2
47,0,10,0,0.0,65,17.0,17.0,46,random,2
48,0,10,0,0.0,28,17.0,17.0,92,random,2
49,0,10,0,0.0,41,17.0,17.0,80,random,2
50,0,10,0,0.0,61,17.0,17.0,60,random,2
51,0,10,0,0.0,40,17.0,17.0,65,random,2
52,0,10,0,0.0,52,17.0,17.0,75,random,2
53,2,8,0,2.2222222222222223,90,17.0,17.0,77,random,2
54,0,10,0,0.0,57,17.0,17.0,72,random,2
55,0,10,0,0.0,59,17.0,17.0,57,random,2
56,0,10,0,0.0,62,17.0,17.0,74,random,2
57,0,10,0,0.0,47,17.0,17.0,68,random,2
58,0,9,1,0.0,800,17.0,17.0,62,random,2
59,0,10,0,0.0,45,17.0,17.0,46,random,2
60,0,10,0,0.0,62,17.0,17.0,76,random,2
61,0,10,0,0.0,50,17.0,17.0,55,random,2
62,0,10,0,0.0,53,17.0,17.0,67,random,2
63,0,10,0,0.0,67,17.0,17.0,107,random,2
64,0,10,0,0.0,53,17.0,17.0,51,random,2
65,1,9,0,2.272727272727273,44,17.0,17.0,59,random,2
66,0,10,0,0.0,43,17.0,17.0,58,random,2
67,0,10,0,0.0,53,17.0,17.0,47,random,2
68,0,10,0,0.0,52,17.0,17.0,88,random,2
69,0,10,0,0.0,69,17.0,17.0,66,random,2
70,2,8,0,2.5316455696202533,79,17.0,17.0,60,random,2
71,0,9,1,0.0,800,17.0,17.0,107,random,2
72,0,10,0,0.0,35,17.0,17.0,56,random,2
73,0,10,0,0.0,27,17.0,17.0,65,random,2
74,0,9,1,0.0,800,17.0,17.0,79,random,2
75,0,10,0,0.0,69,17.0,17.0,79,random,2
76,0,10,0,0.0,40,17.0,17.0,63,random,2
77,0,10,0,0.0,32,17.0,17.0,76,random,2
78,0,10,0,0.0,57,17.0,17.0,93,random,2
79,0,10,0,0.0,66,17.0,17.0,57,random,2
80,0,10,0,0.0,57,17.0,17.0,93,random,2
81,0,10,0,0.0,57,17.0,17.0,97,random,2
82,0,10,0,0.0,55,17.0,17.0,80,random,2
83,0,10,0,0.0,42,17.0,17.0,68,random,2
84,0,10,0,0.0,47,17.0,17.0,66,random,2
85,0,10,0,0.0,70,17.0,17.0,56,random,2
86,0,10,0,0.0,53,17.0,17.0,76,random,2
87,1,9,0,1.25,80,17.0,17.0,65,random,2
88,0,10,0,0.0,55,17.0,17.0,68,random,2
89,0,10,0,0.0,71,17.0,17.0,91,random,2
90,0,10,0,0.0,45,17.0,17.0,86,random,2
91,0,10,0,0.0,50,17.0,17.0,71,random,2
92,0,9,1,0.0,800,17.0,17.0,84,random,2
93,0,10,0,0.0,50,17.0,17.0,79,random,2
